sleeve_id,ticker,sleeve_name,economic_definition,exposure_region,target_currency,provider_type,proxy_flag,locked_flag,asset_class_group,target_rule_family,notes,start_date_target
EQ_US,VTI,US equities,Broad U.S. equity exposure,US,USD,ETF issuer + market history,1,1,Equity,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2001-06-30
EQ_EZ,EZU,Euro area equities,Euro-area equity exposure,EURO_AREA,USD,ETF issuer + market history,1,1,Equity,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2000-07-31
EQ_JP,EWJ,Japan equities,Broad Japan equity exposure,JAPAN,USD,ETF issuer + market history,1,1,Equity,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2000-01-31
EQ_CN,FXI,China equities,Investable China equity exposure,CHINA,USD,ETF issuer + market history,1,1,Equity,USD_LISTED_ETF_DIRECT,carried forward from v3,2004-10-31
EQ_EM,VWO,EM equities,Broad emerging-market equity exposure,EM_GLOBAL,USD,ETF issuer + market history,1,1,Equity,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2005-03-31
FI_UST,IEF,US Treasuries,Intermediate U.S. Treasury exposure,US,USD,ETF issuer + market history,1,1,Fixed Income,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2002-07-31
FI_EU_GOVT,IBGM.AS,Euro government bonds,Euro-area government bond exposure,EURO_AREA,USD,ETF issuer + market history plus FX conversion,1,1,Fixed Income,LOCAL_ETF_PLUS_FX_TO_USD,locked euro fixed-income rule,2008-01-31
CR_US_IG,LQD,US investment-grade credit,U.S. investment-grade corporate credit exposure,US,USD,ETF issuer + market history,1,1,Credit,USD_LISTED_ETF_DIRECT,official v4 replacement for FI_IG,2002-07-31
CR_EU_IG,IEAC.L,Euro investment-grade credit,Euro investment-grade corporate credit exposure,EURO_AREA,USD,ETF issuer + market history plus FX conversion,1,1,Credit,LOCAL_ETF_PLUS_FX_TO_USD,locked euro fixed-income rule,2009-03-31
CR_US_HY,HYG,US high-yield credit,U.S. high-yield corporate credit exposure,US,USD,ETF issuer + market history,1,1,Credit,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2007-04-30
CR_EU_HY,IHYG.L,Euro high-yield credit,Euro high-yield corporate credit exposure,EURO_AREA,USD,ETF issuer + market history plus FX conversion,1,1,Credit,LOCAL_ETF_PLUS_FX_TO_USD,locked euro fixed-income rule,2010-09-30
RE_US,VNQ,US listed real estate,U.S. listed real-estate / REIT exposure,US,USD,ETF issuer + market history,1,1,Real Asset,USD_LISTED_ETF_DIRECT,coexists with LISTED_RE,2004-09-30
LISTED_RE,RWX,Listed real estate ex-US,Ex-U.S. listed real-estate exposure,EX_US_GLOBAL,USD,ETF issuer + market history,1,1,Real Asset,USD_LISTED_ETF_DIRECT,LISTED_RE is locked to ex-U.S. listed real estate,2006-12-31
LISTED_INFRA,IGF,Listed infrastructure,Global listed infrastructure exposure,GLOBAL,USD,ETF issuer + market history,1,1,Real Asset,USD_LISTED_ETF_DIRECT,explicitly equity-like real-asset sleeve,2007-12-31
ALT_GLD,GLD,Gold,Gold-bullion-linked exposure,GLOBAL,USD,ETF issuer + market history,1,1,Alternative,USD_LISTED_ETF_DIRECT,locked v4 sleeve proxy,2004-11-30
