feature_name,source_file,source_column,block_name,geography,transform_type,native_frequency,lag_months,available_in_feature_master_monthly,available_in_modeling_panel_hstack,is_interaction,first_valid_date,last_valid_date,nonmissing_count,nonmissing_share,notes
asset_group_dummy_alternative,derived_v4,asset_group_dummy_alternative,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
asset_group_dummy_credit,derived_v4,asset_group_dummy_credit,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
asset_group_dummy_equity,derived_v4,asset_group_dummy_equity,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
asset_group_dummy_fixed_income,derived_v4,asset_group_dummy_fixed_income,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
asset_group_dummy_real_asset,derived_v4,asset_group_dummy_real_asset,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
cape_china,data/external/akif_candidates/Historic-cape-ratios (1).csv,China,cape,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
cape_china_delta_1m,data/external/akif_candidates/Historic-cape-ratios (1).csv,China,cape,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from cape_china
cape_europe,data/external/akif_candidates/Historic-cape-ratios (1).csv,Europe,cape,EURO_AREA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
cape_europe_delta_1m,data/external/akif_candidates/Historic-cape-ratios (1).csv,Europe,cape,EURO_AREA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from cape_europe
cape_japan,data/external/akif_candidates/Historic-cape-ratios (1).csv,Japan,cape,JAPAN,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
cape_japan_delta_1m,data/external/akif_candidates/Historic-cape-ratios (1).csv,Japan,cape,JAPAN,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from cape_japan
cape_local,derived_v4,cape_local,local_mapping,LOCAL_MAPPED,mapped_alias,monthly,0,1,1,0,2006-01-31,2026-02-28,2662,0.7333333333333333,"Mapped local CAPE, extended to China CAPE for EQ_CN."
cape_usa,data/external/akif_candidates/Historic-cape-ratios (1).csv,USA,cape,US,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
cape_usa_delta_1m,data/external/akif_candidates/Historic-cape-ratios (1).csv,USA,cape,US,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from cape_usa
china_cli,country_level_macro_data/china_cli.csv,COMPOSITE LEADING IN,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
