sleeve_id,ticker,sleeve_name,economic_definition,provider_type,primary_source,secondary_source,monthly_price_rule,return_formula,proxy_flag,asset_class_group,target_rule_family,fx_ticker,notes,start_date_target
EQ_US,VTI,US equities,Broad U.S. equity exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for VTI,Vanguard VTI fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Equity,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2001-06-30
EQ_EZ,EZU,Euro area equities,Euro-area equity exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for EZU,BlackRock EZU fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Equity,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2000-07-31
EQ_JP,EWJ,Japan equities,Broad Japan equity exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for EWJ,BlackRock EWJ fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Equity,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2000-01-31
EQ_CN,FXI,China equities,Investable China equity exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for FXI,iShares FXI fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Equity,USD_LISTED_ETF_DIRECT,,carried forward from v3,2004-10-31
EQ_EM,VWO,EM equities,Broad emerging-market equity exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for VWO,Vanguard VWO fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Equity,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2005-03-31
FI_UST,IEF,US Treasuries,Intermediate U.S. Treasury exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for IEF,iShares IEF fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Fixed Income,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2002-07-31
FI_EU_GOVT,IBGM.AS,Euro government bonds,Euro-area government bond exposure,ETF issuer + market history plus FX conversion,Yahoo Finance adjusted-close history for IBGM.AS,iShares IBGM fund page,last available trading-day adjusted close in each calendar month,local ETF monthly return multiplied by EURUSD monthly FX return,1,Fixed Income,LOCAL_ETF_PLUS_FX_TO_USD,EURUSD=X,local ETF plus FX synthesis to USD,2008-01-31
CR_US_IG,LQD,US investment-grade credit,U.S. investment-grade corporate credit exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for LQD,iShares LQD fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Credit,USD_LISTED_ETF_DIRECT,,CR_US_IG replaces legacy FI_IG naming,2002-07-31
CR_EU_IG,IEAC.L,Euro investment-grade credit,Euro investment-grade corporate credit exposure,ETF issuer + market history plus FX conversion,Yahoo Finance adjusted-close history for IEAC.L,iShares IEAC fund page,last available trading-day adjusted close in each calendar month,local ETF monthly return multiplied by EURUSD monthly FX return,1,Credit,LOCAL_ETF_PLUS_FX_TO_USD,EURUSD=X,local ETF plus FX synthesis to USD,2009-03-31
CR_US_HY,HYG,US high-yield credit,U.S. high-yield corporate credit exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for HYG,iShares HYG fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Credit,USD_LISTED_ETF_DIRECT,,USD-listed ETF direct,2007-04-30
CR_EU_HY,IHYG.L,Euro high-yield credit,Euro high-yield corporate credit exposure,ETF issuer + market history plus FX conversion,Yahoo Finance adjusted-close history for IHYG.L,iShares IHYG fund page,last available trading-day adjusted close in each calendar month,local ETF monthly return multiplied by EURUSD monthly FX return,1,Credit,LOCAL_ETF_PLUS_FX_TO_USD,EURUSD=X,local ETF plus FX synthesis to USD,2010-09-30
RE_US,VNQ,US listed real estate,U.S. listed real-estate / REIT exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for VNQ,Vanguard VNQ fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Real Asset,USD_LISTED_ETF_DIRECT,,RE_US coexists with LISTED_RE,2004-09-30
LISTED_RE,RWX,Listed real estate ex-US,Ex-U.S. listed real-estate exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for RWX,SPDR RWX fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Real Asset,USD_LISTED_ETF_DIRECT,,LISTED_RE means ex-U.S. listed real estate,2006-12-31
LISTED_INFRA,IGF,Listed infrastructure,Global listed infrastructure exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for IGF,iShares IGF fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Real Asset,USD_LISTED_ETF_DIRECT,,global listed infrastructure sleeve,2007-12-31
ALT_GLD,GLD,Gold,Gold-bullion-linked exposure,ETF issuer + market history,Yahoo Finance adjusted-close history for GLD,SPDR GLD fund page,last available trading-day adjusted close in each calendar month,adj_close_t1 / adj_close_t - 1,1,Alternative,USD_LISTED_ETF_DIRECT,,gold sleeve,2004-11-30
